window,scenario,literature_nominal_lfr,literature_nominal_stockout,literature_nominal_time,literature_nominal_n_listed,literature_robust_lfr,literature_robust_stockout,literature_robust_time,literature_robust_n_listed
0,baseline,0.21640049294584654,0.8074951182244356,0.21860885620117188,55,0.1968463163973601,0.808915120146153,0.20154595375061035,48
1,baseline,0.22288508882522856,0.8101328807617892,0.19055581092834473,52,0.2109481318729884,0.8054928972978764,0.22063517570495605,48
2,baseline,0.18840102687002225,0.8041377900142126,0.21009516716003418,52,0.1844180262798719,0.8070014890079541,0.2094593048095703,48
3,baseline,0.18060047638597065,0.8131933084267192,0.22620081901550293,54,0.17659055002693425,0.8119015487245068,0.22184205055236816,49
4,baseline,0.20666235612479544,0.8181355185836776,0.23835396766662598,51,0.20353400706176555,0.8173928779664444,0.21432805061340332,48
5,baseline,0.2137536821378823,0.7931954107644252,0.2360849380493164,51,0.19929221430413205,0.7883797634112943,0.20055317878723145,49
6,baseline,0.17467501149776604,0.8107401920249836,0.23736286163330078,51,0.16596980463220182,0.8081879078888694,0.18693304061889648,48
7,baseline,0.20452750271877068,0.814809992948136,0.23383665084838867,51,0.19766644484241636,0.812408545828798,0.20914101600646973,49
8,baseline,0.16541723107189446,0.808477054975282,0.2280280590057373,50,0.15708927053212723,0.8018820157539132,0.20403385162353516,48
9,baseline,0.21331391561514862,0.8227976263904228,0.23040270805358887,50,0.19900496326115516,0.811690791189637,0.17707419395446777,48
10,baseline,0.1924132694882475,0.8194269768429556,0.23964500427246094,50,0.17823372831905251,0.8124399412871555,0.1930677890777588,47
11,baseline,0.18644141476314893,0.8174932316249788,0.23472189903259277,53,0.17336402165265713,0.8181406377916934,0.18153905868530273,47
12,baseline,0.18100084992408538,0.8159156196240822,0.23929119110107422,52,0.1661791044934952,0.8147179999792697,0.19780516624450684,47
13,baseline,0.18417366403660745,0.8068713575229657,0.2272179126739502,53,0.1724326733686708,0.8084766815287944,0.23832297325134277,48
14,baseline,0.2149355034174505,0.8021102789157503,0.2494640350341797,53,0.19663657791030667,0.8052806617249318,0.20465898513793945,48
15,baseline,0.17301333816126171,0.7962225375602701,0.24153900146484375,54,0.16180412432460642,0.803974125195589,0.21965479850769043,48
16,baseline,0.18954072372982514,0.7951124179863934,0.24047279357910156,54,0.17967525067381543,0.8077263245646025,0.2318418025970459,48
17,baseline,0.17676205580339685,0.781789924567104,0.25077080726623535,54,0.16873131851602993,0.7937485890457139,0.21261906623840332,49
18,baseline,0.20272350091057104,0.7875390393715036,0.22774291038513184,55,0.17792643774422753,0.7895614766653358,0.23183298110961914,49
19,baseline,0.20574647946944374,0.8076822831826498,0.2082970142364502,53,0.1848956050261243,0.7964098494422841,0.21993112564086914,50
20,baseline,0.17195185673698643,0.8086704427187216,0.2447192668914795,55,0.16309691171567264,0.8165882160306499,0.20568013191223145,49
21,baseline,0.23164896704887616,0.8009278304210362,0.20157170295715332,54,0.2087057646835751,0.79898413089938,0.21383380889892578,49
22,baseline,0.21707958091718635,0.765585862542559,0.22370600700378418,56,0.19982431169483844,0.7746701006794815,0.23109793663024902,51
23,baseline,0.20743622350792573,0.7746718074562579,0.23438787460327148,57,0.18167447962427374,0.7766392782556116,0.20612716674804688,52
24,baseline,0.22580531823822567,0.7758531082235294,0.24004673957824707,58,0.20259326517208257,0.7749518964362975,0.19994115829467773,53
25,baseline,0.21000343091973422,0.7938770063029381,0.2751801013946533,58,0.19078820560010504,0.7909845486955434,0.31823205947875977,53
26,baseline,0.20481616868182867,0.7976579213157072,0.2192530632019043,59,0.18840640299459582,0.7927834227783326,0.25873613357543945,54
27,baseline,0.22005801956011592,0.7800630486523074,0.2060532569885254,59,0.2060401050108486,0.7788530167359313,0.23831820487976074,54
28,baseline,0.17365107929978402,0.7988809726564686,0.2122330665588379,59,0.15939308153688958,0.7856170897842938,0.22228193283081055,55
29,baseline,0.19388450779256344,0.805123047909679,0.2633671760559082,58,0.17865066503098398,0.7965381302643013,0.2187180519104004,54
30,baseline,0.17194909087447274,0.8757269663539802,0.29322004318237305,57,0.16573797622912922,0.8631522019795703,0.3296329975128174,53
31,baseline,0.18168666190115101,0.8045808423399292,0.3899192810058594,54,0.17179532454299684,0.802859631280263,0.36713099479675293,49
32,baseline,0.15615393237226277,0.820450599936497,0.4693140983581543,55,0.14478028367453,0.8236989808036208,0.2949330806732178,48
33,baseline,0.19816772162602891,0.8134116626353023,0.37099313735961914,53,0.183487157827182,0.8109954793965545,0.37729620933532715,49
34,baseline,0.16586501857390348,0.8152673933881285,0.38117003440856934,53,0.15187803705064812,0.8117742834563885,0.3056149482727051,49
35,baseline,0.17894560640009904,0.7977545597634297,0.326016902923584,53,0.1608888953828009,0.798658926688315,0.3885490894317627,48
36,baseline,0.19743829295846094,0.7958059604471732,0.40515875816345215,52,0.17921239232302183,0.798846119532616,0.35704684257507324,47
37,baseline,0.18925063110568688,0.8165059836091433,0.3195986747741699,52,0.17649188191598636,0.8168626193783893,0.3483431339263916,47
38,baseline,0.2015057999742248,0.82342133011053,0.3243379592895508,52,0.18802013763729974,0.8230181316117517,0.33008599281311035,47
39,baseline,0.19908411218156033,0.8122358774549244,0.3480103015899658,52,0.1834573485820161,0.8019845028763661,0.3965129852294922,49
40,baseline,0.19558137950823665,0.8087426432791105,0.3878188133239746,52,0.17994533160383702,0.804314081491693,0.38349294662475586,48
41,baseline,0.18470050034860297,0.8374314235068117,0.3923521041870117,52,0.1769278607336843,0.8356285616589497,0.3826940059661865,47
42,baseline,0.16948727603419722,0.8505790532314849,0.4010910987854004,51,0.1585734895191461,0.8447895059046354,0.35332703590393066,47
43,baseline,0.20633774562552265,0.8367525167784892,0.4071488380432129,51,0.19213891215713524,0.8337702684478694,0.34578585624694824,46
44,baseline,0.2643130482747471,0.8040061020145656,0.43319201469421387,51,0.24286890913762618,0.8165404841708482,0.3398571014404297,45
0,high_volatility,0.22624165532325702,0.852666315968534,0.3350069522857666,42,0.1963761650744685,0.8482851649766111,0.3328521251678467,39
1,high_volatility,0.21857965192169626,0.8462404192758979,0.3500397205352783,40,0.2006408089677437,0.8412724541580502,0.33263683319091797,39
2,high_volatility,0.20758782167667658,0.846921199798783,0.32290005683898926,41,0.18167452619936134,0.8436616188573751,0.2944512367248535,39
3,high_volatility,0.18004895813250957,0.8541314728996574,0.34709596633911133,42,0.16036516777498608,0.8500120833304661,0.3241539001464844,40
4,high_volatility,0.2129350248910015,0.8466967244634798,0.3441929817199707,42,0.18988949809575598,0.8411275622560425,0.29610323905944824,40
5,high_volatility,0.21262730640061495,0.8323587182821892,0.34195804595947266,42,0.2017607225158483,0.8348514265937212,0.28628087043762207,40
6,high_volatility,0.16875069776023877,0.8452435411938908,0.37525081634521484,42,0.16273963734895713,0.8420041808209021,0.2819058895111084,41
7,high_volatility,0.20789620340453305,0.8496679250542968,0.3700437545776367,41,0.19183257535699005,0.843503661237333,0.35007309913635254,41
8,high_volatility,0.17411576109235474,0.8399937347021573,0.39189791679382324,43,0.16369908763093913,0.8477893227624484,0.3883059024810791,39
9,high_volatility,0.2056066073760248,0.8414564415976165,0.39018797874450684,42,0.18848733336518395,0.8396671639941843,0.3838989734649658,40
10,high_volatility,0.1974994406075437,0.8467214580228943,0.40766286849975586,43,0.1854336642932371,0.8494956975932686,0.4279448986053467,40
11,high_volatility,0.19274923099575453,0.8520264946039917,0.388916015625,44,0.1743357742354796,0.851402431335702,0.39394187927246094,40
12,high_volatility,0.17891294665211968,0.8484101584968213,0.44895005226135254,43,0.16171492974643284,0.8513248715610585,0.3774840831756592,39
13,high_volatility,0.18348211681086452,0.8398449944006663,0.43491697311401367,43,0.16835357196856587,0.8453471376507349,0.41967272758483887,39
14,high_volatility,0.21091641500794037,0.833219384846394,0.3873422145843506,43,0.1936761243478821,0.8438177632090158,0.4615471363067627,38
15,high_volatility,0.1760968170835103,0.8324827811213638,0.39607715606689453,43,0.1602001544765689,0.8401951821950446,0.4227261543273926,39
16,high_volatility,0.18628939630324973,0.8266712375955136,0.4124588966369629,43,0.16842232754232275,0.8357387899954466,0.4136199951171875,39
17,high_volatility,0.18009075679779551,0.820188622731736,0.39692091941833496,44,0.15832350211380947,0.8298623387698835,0.3920891284942627,39
18,high_volatility,0.22160706353722637,0.8348380640262056,0.39043617248535156,44,0.19348674359054902,0.840923291937917,0.3583371639251709,39
19,high_volatility,0.19247062822688948,0.8333320895081964,0.408189058303833,43,0.1754746562318255,0.840258674340289,0.2971010208129883,39
20,high_volatility,0.16387489013841786,0.844606212987199,0.3455491065979004,43,0.15006622778538792,0.8468309165985051,0.27070069313049316,40
21,high_volatility,0.24012420102577267,0.8380069461239998,0.30927014350891113,44,0.21047610331148772,0.8392743138451165,0.2838451862335205,40
22,high_volatility,0.21330404688331153,0.8180265774896778,0.3069179058074951,43,0.19060081671696433,0.8231327142142432,0.2580559253692627,40
23,high_volatility,0.20059586691689932,0.8210290426812459,0.32343626022338867,45,0.1827617474149395,0.8320126685442054,0.3057746887207031,40
24,high_volatility,0.21905448523526136,0.8279867625275982,0.3931701183319092,45,0.20011871436614403,0.8294017121962516,0.34048008918762207,42
25,high_volatility,0.212299551639497,0.8401569687639434,0.4447021484375,45,0.1902976690781442,0.8431735895503404,0.4238128662109375,41
26,high_volatility,0.2082952306520153,0.8373364773435483,0.43133997917175293,45,0.1898806062609828,0.8419717888585221,0.4281001091003418,41
27,high_volatility,0.23450881637459897,0.8276408253586118,0.39095091819763184,44,0.2088988394659606,0.828453182066951,0.4317748546600342,41
28,high_volatility,0.17595745880166816,0.8382299443282057,0.4132499694824219,45,0.1626815693699115,0.8377728987815181,0.37742114067077637,42
29,high_volatility,0.19375103071312244,0.8445797414291287,0.37081122398376465,45,0.17135174491612568,0.8384717477794994,0.4002561569213867,42
30,high_volatility,0.16772851645363165,0.8701236192074603,0.4050619602203369,45,0.1613336534346779,0.8682977603267636,0.33786582946777344,43
31,high_volatility,0.19569101063773942,0.8429574931404066,0.39716506004333496,44,0.1800445532851491,0.8468904183796573,0.36113882064819336,40
32,high_volatility,0.16940353289785665,0.8584865897181362,0.38974809646606445,43,0.15593778802765634,0.8591505452917899,0.35330677032470703,39
33,high_volatility,0.1988856615475333,0.8503396188423854,0.3881642818450928,42,0.18299613253731348,0.852198449899851,0.32978320121765137,39
34,high_volatility,0.1604663209100736,0.8428865718612303,0.3178369998931885,42,0.14808811747110398,0.8490823018577005,0.37018489837646484,38
35,high_volatility,0.166993752437903,0.8309403735895189,0.48706483840942383,42,0.14987985004564708,0.8406992780540081,0.4834151268005371,38
36,high_volatility,0.18862789251853954,0.8279530466483319,0.4624779224395752,42,0.1707229942139856,0.8379141961602129,0.4050180912017822,38
37,high_volatility,0.19564746402095826,0.8481240583848019,0.39964962005615234,42,0.1713358994300778,0.8498212552545694,0.40096402168273926,38
38,high_volatility,0.19902899171505123,0.8399848958889271,0.3648710250854492,42,0.17393670534110806,0.8435039949110652,0.4004049301147461,38
39,high_volatility,0.19840112017139447,0.8398992457667114,0.35091686248779297,43,0.1780337534275885,0.8406387212028588,0.35741305351257324,39
40,high_volatility,0.2078622582691833,0.84859677044606,0.3742389678955078,43,0.18299158901928383,0.8470591486881522,0.35549497604370117,39
41,high_volatility,0.18886640386892684,0.8599559062101911,0.3607218265533447,43,0.17332070597346833,0.8623448023253297,0.34182190895080566,39
42,high_volatility,0.1717260080847803,0.866331084178033,0.34781813621520996,43,0.15378600098645667,0.8661344932841344,0.3851473331451416,39
43,high_volatility,0.19968084059390134,0.8494706463322111,0.41324591636657715,43,0.1796726571896647,0.8537979489130286,0.453092098236084,39
44,high_volatility,0.25609563635725424,0.8240269206392429,0.4954807758331299,42,0.21551851500952482,0.8284449517446777,0.3193230628967285,39
0,large_scale,0.09392576530924454,0.9357435538746929,0.8319931030273438,44,0.08033492892407534,0.9304692700516694,0.8348538875579834,42
1,large_scale,0.0985422152401909,0.9369467388285379,0.7456591129302979,44,0.08672717277847408,0.9335626680952372,0.8039629459381104,40
2,large_scale,0.0893280147305246,0.9340393115263117,0.7150571346282959,43,0.0793890535052988,0.9344535246730329,0.8515129089355469,40
3,large_scale,0.08059156895712391,0.939043310195649,0.7668581008911133,43,0.07085181470519113,0.934844159447741,0.7885420322418213,41
4,large_scale,0.08959867936918245,0.9350485810491442,0.6837260723114014,44,0.08134890500533645,0.9280182677231348,0.772763729095459,44
5,large_scale,0.09682985400369158,0.9277782611088313,0.5863919258117676,44,0.07959959815975096,0.9273959594606792,0.4780290126800537,40
6,large_scale,0.08187388050453902,0.9364395182408005,0.5018129348754883,44,0.07072372210764508,0.9316360156721297,0.5142669677734375,42
7,large_scale,0.08949293013709753,0.9330426091344408,0.4634709358215332,46,0.07845683128911943,0.935397716681498,0.5267980098724365,41
8,large_scale,0.07421337052389096,0.9303877002468108,0.5393180847167969,46,0.0641965271721526,0.9338018046038165,0.5961980819702148,40
9,large_scale,0.08534312348942714,0.9345962881025828,0.5466539859771729,46,0.07633686498679823,0.93562817558182,0.5002760887145996,41
10,large_scale,0.08855106856352109,0.9348401638302452,0.5271711349487305,47,0.07451765065647865,0.9330763842900041,0.4232759475708008,41
11,large_scale,0.08148608254492018,0.9408818713492972,0.4997239112854004,46,0.07373728805243791,0.9397367803273122,0.4611492156982422,41
12,large_scale,0.07989219132065252,0.9420392219073414,0.4211771488189697,43,0.07314096907183947,0.938837228330652,0.4437870979309082,41
13,large_scale,0.07429067855474392,0.9319393733966091,0.4673728942871094,46,0.06318154783935258,0.9333399881157171,0.4276878833770752,41
14,large_scale,0.07961993607063236,0.9255803682855601,0.47635674476623535,46,0.06755711451965064,0.927590118860525,0.4181640148162842,41
15,large_scale,0.06881384158806861,0.9245297999426835,0.48247814178466797,47,0.058623288528108795,0.926071779286833,0.4813721179962158,42
16,large_scale,0.08298429807535611,0.928180574061857,0.4599030017852783,46,0.07294280524415647,0.9294140972287476,0.4175407886505127,41
17,large_scale,0.09052204136470755,0.9289054791089275,0.4781210422515869,47,0.0807415825837443,0.9295835047630309,0.4069681167602539,42
18,large_scale,0.09035557013581554,0.9268956703081542,0.4659998416900635,45,0.07579962741564436,0.9263385816248747,0.37576794624328613,42
19,large_scale,0.08478086224127808,0.9269959228271886,0.4600379467010498,47,0.07257490219768253,0.9263686713520546,0.40108799934387207,43
20,large_scale,0.08214529055131534,0.93291462862303,0.45336008071899414,50,0.07434770439197236,0.9310102221719779,0.3948976993560791,45
21,large_scale,0.0926429571675136,0.9218560939686896,0.4673929214477539,47,0.08312967186085041,0.9201671576417078,0.41487836837768555,45
22,large_scale,0.09094142553106364,0.916640841161662,0.41021299362182617,48,0.07309619990455259,0.916180199993566,0.4663658142089844,45
23,large_scale,0.08753236865048458,0.9176267126414994,0.4394388198852539,51,0.07072774338912292,0.9177676064491928,0.43911194801330566,46
24,large_scale,0.09313573128603377,0.9215567514338703,0.4442758560180664,50,0.07443088403395258,0.9174745126756675,0.4459812641143799,47
25,large_scale,0.09231044394979168,0.9264940526786539,0.4778289794921875,50,0.07818634082239882,0.9221588069966905,0.45284581184387207,46
26,large_scale,0.09078125797760801,0.9287360967023878,0.43689799308776855,51,0.08352225652928504,0.9279266371538426,0.46168994903564453,47
27,large_scale,0.09755269391107345,0.9190523789280679,0.4578578472137451,51,0.08753144867522046,0.9197976807012642,0.4495539665222168,47
28,large_scale,0.07428492438788384,0.9310717354106363,0.36927103996276855,47,0.07121281764088581,0.9257515636174718,0.4520282745361328,48
29,large_scale,0.08316769458434989,0.9345509862461753,0.4547257423400879,47,0.07460685805935936,0.9241971811425453,0.4978752136230469,48
30,large_scale,0.07942659844890637,0.9576208828653073,0.4323909282684326,48,0.07636920789312442,0.9482064523927587,0.5017569065093994,46
31,large_scale,0.0781359992747063,0.9278604474555419,0.47001194953918457,47,0.07267955202491257,0.9290558786486914,0.41084790229797363,42
32,large_scale,0.07462895971559068,0.9346116831041997,0.44080066680908203,48,0.06863190246247049,0.937595437479746,0.40392088890075684,42
33,large_scale,0.09106339435110121,0.9267708016484031,0.47028088569641113,50,0.07845010096432387,0.9300909184825773,0.41999101638793945,42
34,large_scale,0.08225665727953366,0.9331816961846252,0.4308810234069824,47,0.07586988203326142,0.9343509868894363,0.4774930477142334,41
35,large_scale,0.08765786455255205,0.9290451848403625,0.4356238842010498,47,0.07498020997428595,0.9317151068128486,0.4181828498840332,41
36,large_scale,0.09490344082645007,0.9267880099951399,0.47078609466552734,48,0.07974082869731623,0.9291876914467303,0.4023740291595459,42
37,large_scale,0.08991484723138131,0.9331219456838801,0.43975400924682617,48,0.08281514614336313,0.9370391448704128,0.39539098739624023,41
38,large_scale,0.09542301967581189,0.9356159185784982,0.4441237449645996,47,0.08242330855817345,0.9340406712436009,0.38325977325439453,41
39,large_scale,0.09272900739917286,0.9347093340035528,0.39424896240234375,49,0.07978265919910754,0.9342515712540597,0.38925695419311523,42
40,large_scale,0.09204308537232272,0.9336066438474424,0.4434480667114258,47,0.07470392920092786,0.931030205046881,0.41504812240600586,41
41,large_scale,0.08911608009386256,0.9437608661129724,0.4116191864013672,46,0.08107679173130808,0.9398522627327041,0.3839080333709717,42
42,large_scale,0.07825963736287783,0.9442941623029546,0.4207470417022705,44,0.07101414207441652,0.9432439938056457,0.42401885986328125,40
43,large_scale,0.08834168684552712,0.9390092571996609,0.42327404022216797,43,0.08224325335154666,0.933214132522216,0.4409029483795166,42
44,large_scale,0.10485496172748021,0.9276133995851112,0.3920619487762451,43,0.09843531514716676,0.9263673921122682,0.43748903274536133,41
